"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","shes","people","time","world","day","love","dance","white"
"2","girl","theyre","youre","fire","night","baby","rock","head"
"3","boy","time","ive","god","time","heart","baby","king"
"4","ah","gimme","life","burning","dream","youre","stop","red"
"5","home","wit","ill","die","light","time","gotta","hes"
"6","hes","tv","live","soul","sun","hold","roll","street"
"7","bad","blow","mind","angel","eyes","ill","move","dead"
"8","friend","bit","youve","heaven","sky","girl","ya","wear"
"9","day","music","world","dark","fall","cry","youre","eyes"
"10","money","radio","lie","death","life","ive","shake","dog"
"11","town","hate","run","eyes","rain","mine","tonight","house"
"12","youre","kill","feeling","war","love","night","alright","youre"
"13","night","hear","love","fight","ill","day","ride","hand"
"14","woman","shit","day","heart","stars","waiting","night","black"
"15","call","stars","heart","fear","shine","kiss","beat","pull"
"16","pretty","john","change","blood","call","life","girl","round"
"17","sweet","em","eyes","lord","blue","woman","soul","shoes"
"18","city","money","youll","evil","world","sweet","run","town"
"19","lady","jump","waiting","life","fly","true","ill","watch"
"20","time","live","leave","black","walk","leave","hot","feet"
